ent.frame (Entity ID)	ent.slot (Property)	ent.short_value (Scale reference term ID)	Final Scale Top Class ID
http://who.int/icd#I25.1	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_299	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#6045_81655b5c_debe_4590_b8ad_ea6448685723	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_3	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#31592_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_305	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#N17.0	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_309	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12675_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_31	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#F13.7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_313	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#31603_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_314	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#5882_d5c5b789_da9f_4a74_86b8_ae9f244b45b5	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_317	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#1173_7438cba1_6450_4cd0_b8e9_4b1a198fface	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_321	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#22498_014531d1_19f0_40a9_8799_a9c2cff63779	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_35	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#22103_85f9e494_34d2_4e3f_b182_f005b6f4e5a4	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_367	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#F06.7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_371	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I34.1	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_38	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#2233_ea0b2e17_d398_4474_8ed0_c2b2ced85d96	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_386	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#3072_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_39	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#136_b89758b2_1812_439d_a5c5_2b03dca4dfa3	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_4	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12690_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_42	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12705_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_46	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#41098_735007d5_2555_4eb5_a762_282e008a1468	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_499	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12720_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_50	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#240_ad3b9317_c818_4e1f_b854_fad0e336bb7b	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_51	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#42496_735007d5_2555_4eb5_a762_282e008a1468	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_512	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I05.2	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_57	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#3140_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_58	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#2239_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_6	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12735_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_64	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#2664_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_65	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#F45	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_7	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I35.0	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_71	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#2681_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_72	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I06.0	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_75	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
